Leg	Site	Hole	Core	Core_type	Section_number	Section_type	Top_cm	Depth_mbsf	Section_id	Density	Run_number	Run_timestamp	Core_status	Liner_status	Requested_daq_interval	Requested_daq_period	Actual_daq_period	Measured_counts	Core_diameter	Calibration_timestamp	Calib_density_m0	Calib_density_m1	Calib_density_mse
208	1262	C	1	H	1	S	65	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	40649	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	67	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38825	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	70	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38695	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	72	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38651	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	75	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37916	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	77	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37934	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	80	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37877	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	82	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38011	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	85	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37607	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	87	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38324	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	90	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38069	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	92	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38053	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
