"GO_STRUCT_NAME","GO_STRUCT_TYPE","JSON_NAME","CODE","JSON_UNIT","JSON_UNIT_DESCRIPT","JSON_DESCRIPT"
"Er_ppm","sql.NullFloat64","Er_ppm","*","ppm","parts per million (ppm)","Measurement value of Erbium (Er) in ppm."
"Expected_velocity","sql.NullFloat64","Expected_velocity","#","m/s","meters per second (m/s)","Value of expected velocity based on a standard in meters per second."
"Fe2o3_wt_pct","sql.NullFloat64","Fe2O3_wt_pct","*","ppm","parts per million (ppm)","Measurement value of Iron Oxide (Fe2O3) in ppm."
"Feature","sql.NullString","Feature","","","","Description of a feature in a thin section image."
"File_name","sql.NullString","File_name","","","","Name of a thin section image file."
"First_channel","int64","First_channel","","nm","nannometers (nm)","Wavelength of the first channel of color reflectance spectral values in nm."
"Fossil_group","int64","Fossil_group","","","","Identifier (ID) of a fossil group."
"Fossil_group_name","sql.NullString","Fossil_group_name","--","","","Name of a fossil group."
"Fossil_group_name","string","Fossil_group_name","--","","","Name of a fossil group."
"Freq_normalization_factor","float64","Freq_normalization_factor","","","","Factor used for normalizing magnetic susceptibility measurement."
"Ga_ppm","sql.NullFloat64","Ga_ppm","*","ppm","parts per million (ppm)","Measurement value of Gallium (Ga) in ppm."
"Gd_ppm","sql.NullFloat64","Gd_ppm","*","ppm","parts per million (ppm)","Measurement value of Gadolinium (Gd) in ppm."
"Genus_subgenus","string","Genus_subgenus","*","","","Name of the Genus/subgenus of a fossil taxon."
"Geologic_age_old","sql.NullString","Geologic_age_old","*","","","Name of the oldest geologic age of a paleo sample."
"Geologic_age_young","sql.NullString","Geologic_age_young","*","","","Name of the youngest geologic age of a paleo sample."
"Group_abundance_name","sql.NullString","Group_abundance_name","*","","","Name of the abundance for a fossil group in a paleo sample."
"H_wt_pct","sql.NullFloat64","H_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Hydrogen (H) in weight percent (wt%)."
"Height","float64","Height","#","mm","millimeters (mm)","Distance between aperture and core surface in mm."
"Height_assumed","int64","Height_assumed","","","","Flag to indicate whether height measurement value was actually measured (1) or not (0)."
"Hf_ppm","sql.NullFloat64","Hf_ppm","*","ppm","parts per million (ppm)","Measurement value of Hafnium (Hf) in ppm."
"Hole","string","Hole","","","","Letter identifying the hole at a site from which a core was retrieved or data was collected."
"Hole_azimuth","float64","Hole_azimuth","? *","��","degrees (��)","OCD_TENSOR_CORE Measurement value of the azimuth of the hole in degrees."
"Hole_inclination","float64","Hole_inclination","-- *","��","degrees (��)","Measurement value of the deviation of the hole from vertical in degrees."
"Hole_inclination","sql.NullFloat64","Hole_inclination","-- *","��","degrees (��)","Measurement value of the deviation of the hole from vertical in degrees."
"Image_date","sql.NullString","Image_date","","","","Date image was acquired."
"Image_format","sql.NullString","Image_format","#","","","File image format of an image (TIF,JPG,PDF)."
"Image_resolution","sql.NullInt64","Image_resolution","#","dpi","dots per inch (dpi)","Resolution of the image in dpi."
"Inclination","float64","Inclination","*","","","Measurement value of the orientation of the magnetic field of a sample (the field acquired at the time of the rock formation), and angle between the horizontal and the field direction measured positive downward, in degrees."
"Inor_c_wt_pct","sql.NullFloat64","Inor_C_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Inorganic Carbon in weight percent (wt%)."
"Integration_time","float64","Integration_time","?","s","seconds (s)","Integration_time in seconds (s)."
"Intensity","float64","Intensity","*","amp/m","ampere per meter (amp/m)","OCD_CRYOMAG_SECTION  Measurement value of the intensity in amp/m."
"Intensity_x","float64","Intensity_x","*","amp/m","ampere per meter (amp/m)","Measurement value of the intensity in the x-direction  that has been corrected for background and/or tray correction, in amp/m."
"Intensity_y","float64","Intensity_y","*","amp/m","ampere per meter (amp/m)","Measurement value of the intensity in the y-direction  that has been corrected for background and/or tray correction, in amp/m."
"Intensity_z","float64","Intensity_z","*","amp/m","ampere per meter (amp/m)","Measurement value of the intensity in the z-direction  that has been corrected for background and/or tray correction, in amp/m."
