"GO_STRUCT_NAME","GO_STRUCT_TYPE","JSON_NAME","CODE","JSON_UNIT","JSON_UNIT_DESCRIPT","JSON_DESCRIPT"
"Sio2_wt_pct","sql.NullFloat64","SiO2_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Silica/Silicon Oxide (SiO2) in weight percent (wt%)."
"Site","int64","Site","","","","Number identifying the site from which the core was retrieved. A site is the position of a beacon around which holes are drilled."
"Site_variation","sql.NullFloat64","Site_variation","? *","","","OCD_TENSOR_CORE"
"Slide_number","int64","Slide_number","","","","Number assigned to a thin section slide."
"Sm_ppm","sql.NullFloat64","Sm_ppm","*","ppm","parts per million (ppm)","Measurement value of Samarium (Sm) in ppm."
"Species_subspecies","string","Species_subspecies","*","","","Name of the species/subspecies of a fossil taxon."
"Spectral_values","string","Spectral_values","*","%","percent intensity (%)","String of 31 spectral reflectance values (% intensity)."
"Spring_comment","sql.NullString","Spring_comment","","","","Remark on a spring."
"Spring_id","sql.NullString","Spring_id","","","","Identifier (ID) of a spring."
"Sr_ppm","sql.NullFloat64","Sr_ppm","*","ppm","parts per million (ppm)","Measurement value of Strontium (Sr) in ppm."
"Standard_name","sql.NullString","Standard_name","","","","Name of physical properties standard."
"Standard_set_name","sql.NullString","Standard_set_name","","","","Name for a set of a physical properties standard."
"Strength_reading","float64","Strength_reading","? *","","","""The value of the strength reading, no units given."""
"Sub_piece","sql.NullString","Sub_piece","","","","Letter designation of a sub-piece of a hard rock piece in a section."
"Sul_wt_pct","sql.NullFloat64","Sul_wt_pct","*","wt%","weight percent (wt%)","Measurement value of of Sulfur in weight percent (wt%)."
"Sys_id","string","Sys_id","","","","Identifier (string) for the system used for analysis."
"System_id","int64","System_id","--","","","Identifier (ID) for the system used in analysis."
"System_id","sql.NullInt64","System_id","--","","","Identifier (ID) for the system used in analysis."
"Taxon_comment","sql.NullString","Taxon_comment","","","","Remark on a fossil taxon in a sample."
"Taxon_id","int64","Taxon_id","","","","Identifier (ID) of a fossil taxon."
"Taxon_numeric_abundance","sql.NullInt64","Taxon_numeric_abundance","*","ct","count (ct)","Abundance numeric count of a fossil taxon in a sample."
"Taxon_percent_abundance","sql.NullFloat64","Taxon_percent_abundance","*","%","percent (%)","Abundance percentage of a fossil taxon in a sample."
"Taxon_relative_abundance","sql.NullString","Taxon_relative_abundance","*","","","Qualitative relative abundance of a fossil taxon in a sample."
"Th_ppm","sql.NullFloat64","Th_ppm","*","ppm","parts per million (ppm)","Measurement value of Thorium (Th) in ppm."
"Thermcon_comment","sql.NullString","Thermcon_comment","","","","Remark on a thermal conductivity measurement."
"Thermcon_value","float64","Thermcon_value","@@ *","","","Measurement value of thermal conductivity."
"Thin_section_comment","sql.NullString","Thin_section_comment","","","","Remark on a thin section."
"Timescale_author_year","string","Timescale_author_year","","","","Timescale reference of the datum."
"Tio2_wt_pct","sql.NullFloat64","TiO2_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Titanium Dioxide (TiO2) in weight percent (wt%)."
"Tool_name","string","Tool_name","","","","Name of the tool used for measurement."
"Top_cm","float64","Top_cm","#","cm","centimeters (cm)","Top value of an interval of a section in cm."
"Top_depth_mbsf","float64","Top_depth_mbsf","-- #","mbsf","meters below sea floor (mbsf)","Depth value of top of an interval in meters below sea floor (mbsf)."
"Top_depth_mbsf","sql.NullFloat64","Top_depth_mbsf","-- #","mbsf","meters below sea floor (mbsf)","Depth value of top of an interval in meters below sea floor (mbsf)."
"Tot_c_wt_pct","sql.NullFloat64","Tot_C_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Total Carbon in weight percent (wt%)."
"Total_counts","float64","Total_counts","*","ct","count (ct)","Measurement value of total NGR counts per second not corrected for background."
"Transducer_separation","sql.NullFloat64","Transducer_separation","*","mm","millimeters (mm)","Measurement value of the distance between a pair of transducers in mm."
"Treatment_bias","sql.NullFloat64","Treatment_bias","???","mT","milleteslas (mT)","Values expected for ARM between 0.000 to 1.000 mT, and for IRM between 1.0 to 3000.0 mT."
"Treatment_demag","sql.NullFloat64","Treatment_demag","???","mT","milleteslas (mT)","Values expected between 0.0 to 9999.9 mT."
"Treatment_type","string","Treatment_type","","","","System used for applying alternating frequencies or thermal demagnetizations to samples."
"Tristimulus_x","float64","Tristimulus_x","@@ *","","","Measurement value in the x direction of the color sphere coordinates."
"Tristimulus_y","float64","Tristimulus_y","@@ *","","","Measurement value in the y direction of the color sphere coordinates."
"Tristimulus_z","float64","Tristimulus_z","@@ *","","","Measurement value in the z direction of the color sphere coordinates."
"Ts_comment","sql.NullString","Ts_comment","","","","Remark on a thin section."
"Ts_sample_code_lab","sql.NullString","Ts_sample_code_lab","","","","Code to indicate the shipboard lab that performed the analysis."
"Url","sql.NullString","Url","--","","","Uniform Resource Locator (URL) for the image available on the internet."
"Url","string","Url","--","","","Uniform Resource Locator (URL) for the image available on the internet."
"V_ppm","sql.NullFloat64","V_ppm","*","ppm","parts per million (ppm)","Measurement value of Vanadium in ppm."
"Valid_daqs","sql.NullInt64","Valid_daqs","#","","","Valid number of data acquisitions."
"Vane_comment","sql.NullString","Vane_comment","","","","Remark on a vane."
"Vane_id","sql.NullString","Vane_id","","","","Identifier (ID) of a vane."
"Velocity","float64","Velocity","-- *","m/s","meters per second (m/s)","Measurement value of velocity in m/s."
"Velocity","sql.NullFloat64","Velocity","-- *","m/s","meters per second (m/s)","Measurement value of velocity in m/s."
"Voltage","float64","Voltage","*","mV","milliVolts (mV)","Measurement value of voltage in milliVolts."
"Xrf_analysis_type","string","Xrf_analysis_type","","","","The type of element analysis performed on xrf sample."
"Xrf_comment","sql.NullString","Xrf_comment","","","","Remark on an xrf analysis."
"Xrf_replicate","string","Xrf_replicate","","","","Identifer used for analysis of replicates of a sample."
"Xrf_run_identifier","string","Xrf_run_identifier","","","","Identifier for a run of an analysis on a sample."
"Y_ppm","sql.NullFloat64","Y_ppm","*","ppm","parts per million (ppm)","Measurement value of Yttrium (Y) in ppm."
"Yb_ppm","sql.NullFloat64","Yb_ppm","*","ppm","parts per million (ppm)","Measurement value of Ytterbium (Yb) in ppm."
"Zn_ppm","sql.NullFloat64","Zn_ppm","*","ppm","parts per million (ppm)","Measurement value of Zinc (Zn) in ppm."
"Zone_old","sql.NullString","Zone_old","*","","","Oldest possible fossil zone for a sample."
"Zone_young","sql.NullString","Zone_young","*","","","Youngest possible fossil zone for a sample."
"Zr_ppm","sql.NullFloat64","Zr_ppm","*","ppm","parts per million (ppm)","Measurement value of Zirconium (Zr) in ppm."
