struct_name	table_name	column_name	column_id	go_struct_name	go_struct_type	json_name	code	xs_type	json_unit	json_unit_descript	json_descript
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MBSF_VC	13	Depth_mbsf_vc	sql.NullString	Depth_mbsf_vc		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids removed and compression applied.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MBSF_E	14	Depth_mbsf_e	sql.NullString	Depth_mbsf_e		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with exotics removed.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MBSF_EC	15	Depth_mbsf_ec	sql.NullString	Depth_mbsf_ec		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with exotics removed and compression applied.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MBSF_VE	16	Depth_mbsf_ve	sql.NullString	Depth_mbsf_ve		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids and exotics removed.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MBSF_VEC	17	Depth_mbsf_vec	sql.NullString	Depth_mbsf_vec		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids and exotics removed and compression applied.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MCD	18	Depth_mcd	sql.NullString	Depth_mcd		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd).
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MCD_C	19	Depth_mcd_c	sql.NullString	Depth_mcd_c		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with compression applied.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MCD_V	20	Depth_mcd_v	sql.NullString	Depth_mcd_v		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids removed.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MCD_VC	21	Depth_mcd_vc	sql.NullString	Depth_mcd_vc		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids removed and compression applied.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MCD_E	22	Depth_mcd_e	sql.NullString	Depth_mcd_e		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with exotics removed.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MCD_EC	23	Depth_mcd_ec	sql.NullString	Depth_mcd_ec		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with exotics removed and compression applied.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MCD_VE	24	Depth_mcd_ve	sql.NullString	Depth_mcd_ve		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids and exotics removed.
JanusChemCarb	OCD_CHEM_CARB	DEPTH_MCD_VEC	25	Depth_mcd_vec	sql.NullString	Depth_mcd_vec		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids and exotics removed and compression applied.
JanusChemCarb	OCD_CHEM_CARB	INOR_C_WT_PCT	26	Inor_c_wt_pct	sql.NullString	Inor_C_wt_pct		float	wt%	weight percent (wt%)	Measurement value of Inorganic Carbon in weight percent (wt%).
JanusChemCarb	OCD_CHEM_CARB	CACO3_WT_PCT	27	Caco3_wt_pct	sql.NullString	CaCO3_wt_pct		float	wt%	weight percent (wt%)	Measurement value of Calcium Carbonate (CaCO3) in weight percent (wt%).
