186172	ODP031WUB	Sample 208-1262A-16H-1 (44-45 cm.)
719723	ODP026C0E	Sample 138-851E-5H-4 (111-112 cm.)
186174	ODP031WUC	Sample 208-1262A-16H-1 (50-51 cm.)
719724	ODP026C0F	Sample 138-851E-5H-4 (114-115 cm.)
186175	ODP031WUD	Sample 208-1262A-16H-1 (53-54 cm.)
719725	ODP026C0G	Sample 138-851E-5H-4 (117-118 cm.)
186176	ODP031WUE	Sample 208-1262A-16H-1 (56-57 cm.)
719726	ODP026C0H	Sample 138-851E-5H-4 (120-121 cm.)
186181	ODP031WUF	Sample 208-1262A-16H-1 (59-60 cm.)
719727	ODP026C0I	Sample 138-851E-5H-4 (123-124 cm.)
719728	ODP026C0J	Sample 138-851E-5H-4 (127-128 cm.)
186184	ODP031WUG	Sample 208-1262A-16H-1 (67-68 cm.)
719729	ODP026C0K	Sample 138-851E-5H-4 (130-131 cm.)
186196	ODP031WUH	Sample 208-1262A-16H-1 (70-71 cm.)
719730	ODP026C0L	Sample 138-851E-5H-4 (133-134 cm.)
186202	ODP031WUI	Sample 208-1262A-16H-1 (76-77 cm.)
719731	ODP026C0M	Sample 138-851E-5H-4 (137-138 cm.)
186206	ODP031WUJ	Sample 208-1262A-16H-1 (79-80 cm.)
719732	ODP026C0N	Sample 138-851E-5H-4 (140-141 cm.)
720021	ODP026CD5	Sample 138-851E-7H-1 (97-98 cm.)
186210	ODP031WUK	Sample 208-1262A-16H-1 (82-83 cm.)
719733	ODP026C0O	Sample 138-851E-5H-4 (144-145 cm.)
